FILM;ID ACTEUR;PERSONNAGE;
tt4975920;nm0195842;Oran Moler;
tt4975920;nm3856319;Charlie Bowdre;
tt4975920;nm0000352;Sheriff Romero;
tt4975920;nm8868767;Rio Cutler;
tt4975920;nm0802019;Cricket (a.k.a. Whore);
tt4975920;nm7240335;Tom Pickett;
tt4975920;nm1216220;Dave Rudabaugh;
tt4975920;nm1017206;Mirabel;
tt4975920;nm3520036;Manuela;
tt4975920;nm0695435;Grant Cutler;
tt4975920;nm6232017;Paulita Maxwell;
tt4975920;nm6590594;First Reporter;
tt11557906;nm0004715;Batman;
tt11557906;nm3715867;Sweet Mayhem;
tt11557906;nm0695435;Emmet Brickowski;
tt11557906;nm0001122;Self - Host;
tt11557906;nm0006969;Lucy;
tt3513498;nm0002071;President Business;
tt3513498;nm1475594;Superman;
tt3513498;nm1840504;Queen Watevra Wa'Nabi;
tt3513498;nm1547964;Ice Cream Cone;
tt3513498;nm1555340;Unikitty;
tt3513498;nm3338018;Finn;
tt3513498;nm7737419;Bianca;
tt3513498;nm0748973;Mom;
tt3513498;nm2355635;Banarnar;
tt3513498;nm3715867;General Mayhem;
tt3513498;nm0006969;Wyldstyle;
tt3513498;nm0276161;Balthazar;
tt3513498;nm1706767;Green Lantern;
tt3513498;nm0004715;Batman;
tt3513498;nm0695435;Emmet Brickowski;
tt3513498;nm0206359;Benny;
tt3513498;nm0597388;Aquaman;
tt3513498;nm0644406;MetalBeard;
tt9410240;nm1840504;Queen Watevra Wa'Nabi;
tt9410240;nm1555340;Unikitty;
tt9410240;nm0004715;Batman;
tt9410240;nm3715867;Sweet Mayhem;
tt9410240;nm0206359;Benny;
tt9410240;nm0695435;Emmet Brickowski;
tt9410240;nm0006969;Lucy;
tt9410240;nm0003944;Alfred Pennyworth;
tt9410240;nm0644406;Metal Beard;
tt4881806;nm0505971;Ken Wheatley;
tt4881806;nm0429363;Mr. Eversoll;
tt4881806;nm0714866;Helicopter Pilot;
tt4881806;nm4826554;Lead Mercenary;
tt4881806;nm0419273;Senator Sherwood;
tt4881806;nm9830820;Maisie Lockwood;
tt4881806;nm6819854;Franklin Webb;
tt4881806;nm0000156;Ian Malcolm;
tt4881806;nm0001036;Iris;
tt4881806;nm4427331;Zia Rodriguez;
tt4881806;nm1245863;Eli Mills;
tt4881806;nm0000342;Benjamin Lockwood;
tt4881806;nm3016166;Tech Merc;
tt4881806;nm1134945;Tech Operator;
tt4881806;nm0695435;Owen Grady;
tt4881806;nm0397171;Claire Dearing;
tt4881806;nm6442861;Sub Pilot;
tt4881806;nm0000703;Dr. Wu;
tt4154756;nm1165110;Thor;
tt4154756;nm0000332;James Rhodes;
tt4154756;nm1569276;T'Challa;
tt4154756;nm0252961;Heimdall;
tt4154756;nm0647634;Wanda Maximoff;
tt4154756;nm0424060;Natasha Romanoff;
tt4154756;nm0757855;Gamora;
tt4154756;nm0749263;Bruce Banner;
tt4154756;nm1659221;Bucky Barnes;
tt4154756;nm0000375;Tony Stark;
tt4154756;nm1089991;Loki;
tt4154756;nm1107001;Sam Wilson;
tt4154756;nm0262635;Steve Rogers;
tt4154756;nm4043618;Peter Parker;
tt4154756;nm2394794;Nebula;
tt4154756;nm0079273;Vision;
tt4154756;nm1212722;Doctor Strange;
tt4154756;nm1775091;Okoye;
tt10800876;nm3965748;Zach King;
tt10800876;nm7805923;Cole LaBrant;
tt10800876;nm0695435;Chris Pratt;
tt10800876;nm0397171;Bryce Dallas Howard;
tt7131308;nm0498278;Stan Lee;
tt7131308;nm0348231;Sean Gunn;
tt7131308;nm0740264;Michael Rooker;
tt7131308;nm0001327;Zardu Hasselfrau;
tt7131308;nm0348181;James Gunn;
tt7131308;nm2394794;Karen Gillan;
tt7131308;nm0695435;Chris Pratt;
tt7131308;nm1176985;Dave Bautista;
tt7131308;nm2281865;Guillermo Rodriguez;
tt7131308;nm0757855;Zoe Saldana;
tt7131308;nm2962353;Pom Klementieff;
tt7134278;nm0498278;Self;
tt7134278;nm0004874;Baby Groot;
tt7134278;nm0001125;The Collector;
tt7134278;nm0695435;Peter Quill;
tt7134278;nm1176985;Drax;
tt7134278;nm0757855;Gamora;
tt7134278;nm0177896;Rocket Raccoon;
tt7134278;nm1166041;Carina Tivan;
tt7134278;nm2962353;Mantis;
tt3896198;nm2884388;Taserface;
tt3896198;nm0757855;Gamora;
tt3896198;nm4456120;Ayesha;
tt3896198;nm0177896;Rocket;
tt3896198;nm6282315;Sovereign Chambermaid;
tt3896198;nm0000621;Ego;
tt3896198;nm0777125;Young Ego Facial Reference;
tt3896198;nm0348231;Kraglin;
tt3896198;nm0281107;Tullk;
tt3896198;nm2652095;Meredith Quill;
tt3896198;nm0740264;Yondu;
tt3896198;nm0000230;Stakar Ogord;
tt3896198;nm0004874;Baby Groot;
tt3896198;nm2394794;Nebula;
tt3896198;nm0695435;Peter Quill;
tt3896198;nm1176985;Drax;
tt3896198;nm5167893;Sovereign Pilot;
tt3896198;nm2962353;Mantis;
tt2660806;nm1763390;Paul;
tt2660806;nm1682319;Gabriel;
tt2660806;nm2804503;Baxter;
tt2660806;nm1305105;Wendy;
tt2660806;nm0001209;Adam;
tt2660806;nm0001629;Alvin;
tt2660806;nm3905909;Roscoe;
tt2660806;nm0267506;Christy;
tt2660806;nm0891647;Expeditor;
tt2660806;nm0448252;Marjorie;
tt2660806;nm0766005;Andy;
tt2660806;nm1638022;Luke;
tt2660806;nm0425616;Beatrice;
tt2660806;nm0005049;Bonnie;
tt2660806;nm0829390;Rudy;
tt2660806;nm3970180;Violet;
tt2660806;nm0005326;Jill;
tt2660806;nm0005060;Tammy;
tt1355644;nm0000412;Captain Norris;
tt1355644;nm0249283;InfoMat;
tt1355644;nm4563780;Best Friend;
tt1355644;nm6486546;Party Friend;
tt1355644;nm8642987;Party Friend;
tt1355644;nm2225369;Aurora Lane;
tt1355644;nm0307779;Voice of the Avalon;
tt1355644;nm0790688;Arthur;
tt1355644;nm2124713;Party Friend;
tt1355644;nm5700607;Communications Officer;
tt1355644;nm3562253;Crew Member;
tt1355644;nm2365632;Executive Officer;
tt1355644;nm8642985;Party Friend;
tt1355644;nm0695435;Jim Preston;
tt1355644;nm0000401;Gus Mancuso;
tt1355644;nm2410458;Instructor (Hologram);
tt1355644;nm7880074;Party Friend;
tt1355644;nm8642986;Party Friend;
tt2404435;nm2636310;Vasquez;
tt2404435;nm0000243;Chisolm;
tt2404435;nm0039327;Preacher;
tt2404435;nm0000160;Goodnight Robicheaux;
tt2404435;nm0692670;Hank Stoner;
tt2404435;nm0000352;Jack Horne;
tt2404435;nm0496932;Billy Rocks;
tt2404435;nm0093589;Matthew Cullen;
tt2404435;nm1551999;Josiah;
tt2404435;nm1556504;Maxwell;
tt2404435;nm2936232;Red Harvest;
tt2404435;nm2093766;Teddy Q;
tt2404435;nm0430885;Denali;
tt2404435;nm1544217;McCann;
tt2404435;nm2247245;Emma Cullen;
tt2404435;nm6021414;Anthony;
tt2404435;nm0695435;Josh Faraday;
tt2404435;nm0765597;Bartholomew Bogue;
tt3614530;nm0115389;Homeless Woman;
tt3614530;nm0627612;Hair Stylist;
tt3614530;nm2874427;Jerrica;
tt3614530;nm1783380;Jason Kennedy;
tt3614530;nm0125070;Vocal Coach;
tt3614530;nm4563780;Shana;
tt3614530;nm0000208;Aunt Bailey;
tt3614530;nm2640887;Kimber;
tt3614530;nm6038328;Young Jerrica;
tt3614530;nm5125858;Esteban;
tt3614530;nm0865626;Rebecca;
tt3614530;nm1790066;Donnie the Reporter;
tt3614530;nm3072243;Aja;
tt3614530;nm4554428;Rio;
tt3614530;nm0139276;Emmett Benton;
tt3614530;nm2878801;Choreographer;
tt3614530;nm1994245;Zipper;
tt3614530;nm0000496;Erica Raymond;
tt4656392;nm0000101;Dr. Raymond Stantz;
tt4656392;nm0048982;The Fourth Doctor;
tt4656392;nm0089141;Aquaman;
tt4656392;nm1555340;Unikitty;
tt4656392;nm0089707;Sauron;
tt4656392;nm0134922;The Twelfth Doctor;
tt4656392;nm0006969;Wyldstyle;
tt4656392;nm0144657;Homer Simpson;
tt4656392;nm0143599;Coyote;
tt4656392;nm1982510;Clara Oswald;
tt4656392;nm0000276;Samwise 'Sam' Gamgee;
tt4656392;nm1684869;Batman;
tt4656392;nm1154161;Wonder Woman;
tt4656392;nm0004715;Batman (The Lego Movie);
tt4656392;nm0048346;The Sixth Doctor;
tt4656392;nm0089217;Legolas;
tt4656392;nm0169934;Velma Dinkley;
tt4656392;nm0057882;Jack Harkness;
tt9881938;nm5262775;Aidy;
tt9881938;nm5198446;Admission Officer;
tt9881938;nm1293885;B.F.;
tt9881938;nm0352778;Alan;
tt9881938;nm0428656;MC;
tt9881938;nm3324982;Adam Zekeman;
tt9881938;nm5803981;Art Looker;
tt9881938;nm0453115;Basketball Player;
tt9881938;nm5906920;Admission Officer;
tt9881938;nm3080722;Blake Vilanti;
tt9881938;nm3982894;Barrack Obama;
tt9881938;nm3550886;Denise Lattamore;
tt9881938;nm0203457;Chad;
tt9881938;nm5412083;Admission Officer;
tt9881938;nm3364779;Bank Clerk;
tt9881938;nm0860380;Marcus;
tt9881938;nm3830257;Jackie - Maid of Honor;
tt9881938;nm0571952;Anita;
tt4528890;nm0145243;;
tt4528890;nm1072611;Roland Tembo;
tt4528890;nm0016141;;
tt4528890;nm3950075;;
tt4528890;nm0072829;Ray Arnold;
tt4528890;nm0105876;Show Announcer;
tt4528890;nm0248074;;
tt4528890;nm0000352;Hoskins;
tt4528890;nm4114475;;
tt4528890;nm0235006;;
tt4528890;nm1684869;Velociraptor Handler;
tt4528890;nm6388519;;
tt4528890;nm1584992;;
tt4528890;nm0293342;;
tt4528890;nm1460733;;
tt4528890;nm1281932;;
tt4528890;nm0295597;;
tt4528890;nm0266422;Jimmy Fallon;
tt0369610;nm3538718;Zach;
tt0369610;nm1082477;Barry;
tt0369610;nm1944055;Vivian;
tt0369610;nm0974575;Hamada;
tt0369610;nm1468061;Paddock Supervisor;
tt0369610;nm0339460;Karen;
tt0369610;nm2692146;Zara;
tt0369610;nm2159926;Lowery;
tt0369610;nm0451234;Masrani;
tt0369610;nm1339223;Gray;
tt0369610;nm0000352;Vic Hoskins;
tt0369610;nm3083875;Mosasaurus Announcer;
tt0369610;nm4253352;Young Raptor Handler;
tt0369610;nm2952467;Scott;
tt0369610;nm0695435;Owen Grady;
tt0369610;nm0397171;Claire Dearing;
tt0369610;nm0266422;Jimmy Fallon;
tt0369610;nm0000703;Dr. Henry Wu;
tt1266020;nm0641389;Jerry Gergich;
tt1266020;nm0429069;Ann Perkins;
tt1266020;nm2355635;Jean-Ralphio Saperstein;
tt1266020;nm0321835;Councilman Jamm;
tt1266020;nm0773973;Mark Brendanawicz;
tt1266020;nm0338783;Councilman Milton;
tt1266020;nm2106637;Tom Haverford;
tt1266020;nm0688132;Leslie Knope;
tt1266020;nm3085284;Perd Hapley;
tt1266020;nm2201555;April Ludgate;
tt1266020;nm0004395;Ben Wyatt;
tt1266020;nm0172558;Joan Callamezzo;
tt1266020;nm2813994;Craig Middlebrooks;
tt1266020;nm0695435;Andy Dwyer;
tt1266020;nm0000507;Chris Traeger;
tt1266020;nm1645286;Councilman Howser;
tt1266020;nm0802876;Donna Meagle;
tt1266020;nm0644406;Ron Swanson;
tt4311010;nm0688132;Leslie Knope;
tt4311010;nm2201555;April Ludgate;
tt4311010;nm0695435;Andy Dwyer;
tt4311010;nm0644406;Ron Swanson;
tt2015381;nm0000335;Nova Prime;
tt2015381;nm0757855;Gamora;
tt2015381;nm0177896;Rocket;
tt2015381;nm0784818;Denarian Saal;
tt2015381;nm5395388;On Set Groot;
tt2015381;nm0348231;Kraglin;
tt2015381;nm0265457;The Broker;
tt2015381;nm1195855;Ronan;
tt2015381;nm2652095;Meredith Quill;
tt2015381;nm0740264;Yondu Udonta;
tt2015381;nm0004874;Groot;
tt2015381;nm0001125;The Collector;
tt2015381;nm5200476;Young Quill;
tt2015381;nm0005023;Korath;
tt2015381;nm2394794;Nebula;
tt2015381;nm0695435;Peter Quill;
tt2015381;nm1176985;Drax;
tt2015381;nm0000604;Corpsman Dey;
tt1490017;nm0002071;Lord Business;
tt1490017;nm1911947;Blake;
tt1490017;nm1555340;Unikitty;
tt1490017;nm3025399;Gandalf;
tt1490017;nm2159926;Barry;
tt1490017;nm0006969;Wyldstyle;
tt1490017;nm0123262;Octan Robot;
tt1490017;nm0000151;Vitruvius;
tt1490017;nm5322950;Mom;
tt1490017;nm1706767;Green Lantern;
tt1490017;nm1584992;Han Solo;
tt1490017;nm0004715;Batman;
tt1490017;nm1221047;Foreman Jim;
tt1490017;nm0287182;Abraham Lincoln;
tt1490017;nm0695435;Emmet Brickowski;
tt1490017;nm0000355;C-3PO;
tt1490017;nm0206359;Benny;
tt1490017;nm2002649;Wally;
tt3502544;nm2094090;Captain;
tt3502544;nm0000279;Chaz Babcock;
tt3502544;nm0001475;Ol' Gregory Timms;
tt3502544;nm0005405;US Marshal Kev;
tt3502544;nm3529685;Arjit Pondicherry;
tt3502544;nm0051469;Genia Myers;
tt3502544;nm1632536;Tokyo Board Member;
tt3502544;nm0006969;Beth Billings-Timms;
tt3502544;nm0505664;1st Executive;
tt3502544;nm0002064;Pruit Normings;
tt3502544;nm1115741;2nd Executive;
tt3502544;nm1063517;Daniel Myers;
tt3502544;nm1802209;Tennis Pro;
tt3502544;nm0004395;US Marshal Lonny;
tt3502544;nm4305453;Guy In Stall;
tt3502544;nm0695435;Donovan Timms;
tt2387559;nm3875284;Adam;
tt2387559;nm1429380;Kristen;
tt2387559;nm4814002;Young Boozer;
tt2387559;nm1293885;Aleksy;
tt2387559;nm1549325;Young Romantic Girl;
tt2387559;nm1130627;Emma;
tt2387559;nm1540620;Bag Boy;
tt2387559;nm1790970;African American Spa Worker;
tt2387559;nm0000681;David;
tt2387559;nm2930503;Josh;
tt2387559;nm0089782;Mikolaj;
tt2387559;nm5470445;Taylor;
tt2387559;nm2842384;Ryan;
tt2387559;nm4568989;Channing;
tt2387559;nm2334250;Viggo;
tt2387559;nm5510692;Andrew Johansson;
tt2387559;nm0695435;Brett;
tt2387559;nm0216342;Victor;
tt1798709;nm0010736;Amy;
