ID IMDB;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL
nm0169806;Taika Waititi;16/08/1975;Wellington, New Zealand;/name/nm0169806?ref_=tt_cl_t_5
nm1082477;Omar Sy;20/01/1978;Trappes, Yvelines, France;/name/nm1082477?ref_=tt_cl_t_11
nm9830820;Isabella Sermon;08/07/2006;London, England;/name/nm9830820?ref_=tt_cl_t_8
nm0000554;Sam Neill;14/09/1947;Omagh, Co. Tyrone, Northern Ireland, UK;/name/nm0000554?ref_=tt_cl_t_4
nm0000156;Jeff Goldblum;22/10/1952;Pittsburgh, Pennsylvania, USA;/name/nm0000156?ref_=tt_cl_t_5
nm6819854;Justice Smith;09/08/1995;Los Angeles, California, USA;/name/nm6819854?ref_=tt_cl_t_12
nm6974206;Mamoudou Athie;;;/name/nm6974206?ref_=tt_cl_t_7
nm4427331;Daniella Pineda;20/02/1987;Oakland, California, USA;/name/nm4427331?ref_=tt_cl_t_13
nm1986622;DeWanda Wise;30/05/1984;Jessup, Maryland, USA;/name/nm1986622?ref_=tt_cl_t_6
nm1119340;Kristoffer Polaha;18/02/1977;Reno, Nevada, USA;/name/nm1119340?ref_=tt_cl_t_16
nm2821397;Freya Parker;;;/name/nm2821397?ref_=tt_cl_t_18
nm2020278;Scott Haze;28/06/1993;Dallas, Texas, USA;/name/nm2020278?ref_=tt_cl_t_14
nm11016259;Caleb Hearon;24/01/1995;Missouri, USA;/name/nm11016259?ref_=tt_cl_t_17
nm0000368;Laura Dern;10/02/1967;Saint John's Health Center, Santa Monica, Los Angeles County, California, USA;/name/nm0000368?ref_=tt_cl_t_3
nm0001714;Campbell Scott;19/07/1961;New York City, New York, USA;/name/nm0001714?ref_=tt_cl_t_9
nm0397171;Bryce Dallas Howard;02/03/1981;Los Angeles, California, USA;/name/nm0397171?ref_=tt_cl_t_2
nm0000703;BD Wong;24/10/1960;San Francisco, California, USA;/name/nm0000703?ref_=tt_cl_t_10
nm1901842;Dichen Lachman;22/02/1982;Kathmandu, Nepal;/name/nm1901842?ref_=tt_cl_t_15
