ID IMDB;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL
nm4419145;Anote Tong;;;/name/nm4419145?ref_=tt_cl_t_16
nm9406398;Ashok Lavasa;;;/name/nm9406398?ref_=tt_cl_t_14
nm8562029;Alvin Lin;;;/name/nm8562029?ref_=tt_cl_t_12
nm9406399;Haji Ji;;;/name/nm9406399?ref_=tt_cl_t_15
nm3780804;Jason Box;;;/name/nm3780804?ref_=tt_cl_t_8
nm2865862;Sunita Narain;;;/name/nm2865862?ref_=tt_cl_t_13
nm8562027;Jake Awa;;;/name/nm8562027?ref_=tt_cl_t_7
nm1614324;Jeremy Jackson;;;/name/nm1614324?ref_=tt_cl_t_18
nm3134128;Michael E. Mann;;;/name/nm3134128?ref_=tt_cl_t_10
nm6066048;Tommy Remengesau;;;/name/nm6066048?ref_=tt_cl_t_17
nm0327944;Alejandro G. Iñárritu;15/08/1963;Mexico City, Distrito Federal, Mexico;/name/nm0327944?ref_=tt_cl_t_3
nm8562028;Philip Levine;;;/name/nm8562028?ref_=tt_cl_t_9
nm2559634;Ban Ki-moon;13/06/1944;Injo, Japanese Korea [now Eumseong, South Korea];/name/nm2559634?ref_=tt_cl_t_2
nm4091610;Ma Jun;;;/name/nm4091610?ref_=tt_cl_t_11
nm2811695;Enric Sala;;;/name/nm2811695?ref_=tt_cl_t_6
nm3993798;Mike Brune;;;/name/nm3993798?ref_=tt_cl_t_4
nm8568071;Marc Mageau;;;/name/nm8568071?ref_=tt_cl_t_5
nm5888533;Ian Stevenson;;;/name/nm5888533?ref_=tt_cl_t_2
nm1056413;Prince William;21/06/1982;Paddington, London, England, UK;/name/nm1056413?ref_=tt_cl_t_3
nm12093351;Nolver Arirama;;;/name/nm12093351?ref_=tt_cl_t_5
nm12093362;José Quispe;;;/name/nm12093362?ref_=tt_cl_t_16
nm12093355;Fernando Urizar;;;/name/nm12093355?ref_=tt_cl_t_9
nm12093358;Miguel Montenegro;;;/name/nm12093358?ref_=tt_cl_t_12
nm12093360;Felipe Bazan;;;/name/nm12093360?ref_=tt_cl_t_14
nm12093349;Aruwihtu Pizanku;;;/name/nm12093349?ref_=tt_cl_t_3
nm12093361;Yaneth Cajahuanca;;;/name/nm12093361?ref_=tt_cl_t_15
nm0124133;George W. Bush;06/07/1946;New Haven, Connecticut, USA;/name/nm0124133?ref_=tt_cl_t_17
nm12093353;Victor García Belaúnde;;;/name/nm12093353?ref_=tt_cl_t_7
nm12093354;Yehude Simon;;;/name/nm12093354?ref_=tt_cl_t_8
nm11198866;Alberto Pizango;;;/name/nm11198866?ref_=tt_cl_t_1
nm12093350;Ander Ordoñez;;;/name/nm12093350?ref_=tt_cl_t_4
nm12093356;Simon Huipo;;;/name/nm12093356?ref_=tt_cl_t_10
nm12093359;Javier Velásquez Quesquen;;;/name/nm12093359?ref_=tt_cl_t_13
nm12093352;Vladimir Pinto;;;/name/nm12093352?ref_=tt_cl_t_6
nm12093357;Mercedes Cabanillas;;;/name/nm12093357?ref_=tt_cl_t_11
nm4661669;Alan García;;;/name/nm4661669?ref_=tt_cl_t_2
nm7051649;Lisa Agabian;;;/name/nm7051649?ref_=tt_cl_t_14
nm6156981;Lauren Ornelas;;;/name/nm6156981?ref_=tt_cl_t_15
nm11251141;Michael Besancon;;;/name/nm11251141?ref_=tt_cl_t_12
nm7051645;Richard Oppenlander;;;/name/nm7051645?ref_=tt_cl_t_7
nm7051644;Kamyar Guivetchi;;;/name/nm7051644?ref_=tt_cl_t_6
nm7051648;Chad Nelsen;;;/name/nm7051648?ref_=tt_cl_t_13
nm0330722;Al Gore;31/03/1948;Washington, District of Columbia, USA;/name/nm0330722?ref_=tt_cl_t_3
nm7051643;Manucher Alemi;;;/name/nm7051643?ref_=tt_cl_t_5
nm7051651;Geoff Shester;;;/name/nm7051651?ref_=tt_cl_t_17
nm7051650;Susan Hartland;;;/name/nm7051650?ref_=tt_cl_t_16
nm6057112;Kip Andersen;;;/name/nm6057112?ref_=tt_cl_t_2
nm7051641;Bruce Hamilton;;;/name/nm7051641?ref_=tt_cl_t_1
nm7051647;Demosthenes Maratos;;;/name/nm7051647?ref_=tt_cl_t_9
nm7051646;Kirk R. Smith;;;/name/nm7051646?ref_=tt_cl_t_8
nm7051642;Heather Cooley;;;/name/nm7051642?ref_=tt_cl_t_4
nm6856832;Will Tuttle;;;/name/nm6856832?ref_=tt_cl_t_10
nm7051652;Lindsey Allen;;;/name/nm7051652?ref_=tt_cl_t_18
nm2293679;Michael Pollan;06/02/1955;Long Island, New York, USA;/name/nm2293679?ref_=tt_cl_t_11
nm0525978;Patrice Lumumba;02/07/1925;Onalua, Belgian Congo [now Democratic Republic of the Congo];/name/nm0525978?ref_=tt_cl_t_7
nm7241312;Mélanie Gouby;;;/name/nm7241312?ref_=tt_cl_t_3
nm7241311;Rodrigue Mugaruka Katembo;;;/name/nm7241311?ref_=tt_cl_t_4
nm7241354;Vianney Kazarama;;;/name/nm7241354?ref_=tt_cl_t_5
nm11111553;Pieter Wright;;;/name/nm11111553?ref_=tt_cl_t_10
nm5313975;Emmanuel de Merode;;;/name/nm5313975?ref_=tt_cl_t_2
nm11111341;Julien Lechenault;;;/name/nm11111341?ref_=tt_cl_t_6
nm11111551;Guyguy Mitamba;;;/name/nm11111551?ref_=tt_cl_t_8
nm11111296;Josue Mukura;;;/name/nm11111296?ref_=tt_cl_t_9
nm7241310;André Bauma;;;/name/nm7241310?ref_=tt_cl_t_1
nm0001661;Rob Reiner;06/03/1947;The Bronx, New York City, New York, USA;/name/nm0001661?ref_=tt_cl_t_6
nm0525921;Joanna Lumley;01/05/1946;Srinagar, Jammu and Kashmir, British India [now India];/name/nm0525921?ref_=tt_cl_t_10
nm0002056;Christine Ebersole;21/02/1953;Chicago, Illinois, USA;/name/nm0002056?ref_=tt_cl_t_12
nm2460943;Brian Sacca;;;/name/nm2460943?ref_=tt_cl_t_17
nm3585980;Henry Zebrowski;01/05/1984;Florida, USA;/name/nm3585980?ref_=tt_cl_t_18
nm1128592;Katarina Cas;23/09/1976;Slovenj Gradec, Slovenia, Yugoslavia;/name/nm1128592?ref_=tt_cl_t_14
nm1256532;Jon Bernthal;20/09/1976;Washington, District of Columbia, USA;/name/nm1256532?ref_=tt_cl_t_7
nm2854977;Bobby Wolfe;;;/name/nm2854977?ref_=tt_cl_t_12
nm6114855;John W. Kleer;;;/name/nm6114855?ref_=tt_cl_t_15
nm0000437;Woody Harrelson;23/07/1961;Midland, Texas, USA;/name/nm0000437?ref_=tt_cl_t_4
nm0258743;Jack Erdie;;;/name/nm0258743?ref_=tt_cl_t_18
nm0609144;Nancy Mosser;;;/name/nm0609144?ref_=tt_cl_t_7
nm0000729;Casey Affleck;12/08/1975;Falmouth, Massachusetts, USA;/name/nm0000729?ref_=tt_cl_t_2
nm2933542;Boyd Holbrook;01/09/1981;Prestonsburg, Kentucky, USA;/name/nm2933542?ref_=tt_cl_t_16
nm0001731;Sam Shepard;05/11/1943;Fort Sheridan, Illinois, USA;/name/nm0001731?ref_=tt_cl_t_8
nm0723766;Charles David Richards;;;/name/nm0723766?ref_=tt_cl_t_13
nm0852256;Dendrie Taylor;23/11/1960;;/name/nm0852256?ref_=tt_cl_t_5
nm0161893;Carl Ciarfalio;12/11/1953;Alhambra, California, USA;/name/nm0161893?ref_=tt_cl_t_6
nm3483467;Corey Rieger;;;/name/nm3483467?ref_=tt_cl_t_17
nm0182345;David Costabile;09/01/1967;Washington, District of Columbia, USA;/name/nm0182345?ref_=tt_cl_t_15
nm4112253;Sam Palladio;21/11/1986;Pembury, Kent, England, UK;/name/nm4112253?ref_=tt_cl_t_14
nm5971303;Bernie O. Ramos Robledo;;;/name/nm5971303?ref_=tt_cl_t_13
nm1382202;Christian George;;;/name/nm1382202?ref_=tt_cl_t_7
nm1638200;James Molina;;;/name/nm1638200?ref_=tt_cl_t_10
nm1092022;Michael Esper;01/12/1976;New York, New York, USA;/name/nm1092022?ref_=tt_cl_t_5
nm5237457;Jordan Beder;;;/name/nm5237457?ref_=tt_cl_t_16
nm3967796;Oliver Cooper;;;/name/nm3967796?ref_=tt_cl_t_6
nm2605345;Gemma Arterton;02/02/1986;Gravesend, Kent, England, UK;/name/nm2605345?ref_=tt_cl_t_3
nm0348409;Bob Gunton;15/11/1945;Santa Monica, California, USA;/name/nm0348409?ref_=tt_cl_t_17
nm2421181;Danny Mooney;02/02/1985;Ann Arbor, Michigan, USA;/name/nm2421181?ref_=tt_cl_t_15
nm4632699;Bella Ivory;;;/name/nm4632699?ref_=tt_cl_t_13
nm0544067;Michael Mantell;;;/name/nm0544067?ref_=tt_cl_t_11
nm3713971;Yuriy Sardarov;28/01/1988;Baku, Azerbaijan;/name/nm3713971?ref_=tt_cl_t_12
nm0411857;Gregory Itzin;20/04/1948;Washington, District of Columbia, USA;/name/nm0411857?ref_=tt_cl_t_10
nm4166964;Fabio Polanco;;;/name/nm4166964?ref_=tt_cl_t_18
nm0542058;John Manfredi;;;/name/nm0542058?ref_=tt_cl_t_16
nm2788479;Maya Sayre;;;/name/nm2788479?ref_=tt_cl_t_14
nm0331516;Ryan Gosling;12/11/1980;London, Ontario, Canada;/name/nm0331516?ref_=tt_cl_t_4
nm4389727;Robert Mervak;;;/name/nm4389727?ref_=tt_cl_t_17
nm0939697;Evan Rachel Wood;07/09/1987;Raleigh, North Carolina, USA;/name/nm0939697?ref_=tt_cl_t_5
nm1796057;Max Irons;17/10/1985;Camden, London, England, UK;/name/nm1796057?ref_=tt_cl_t_6
nm0929794;Christine Willes;;;/name/nm0929794?ref_=tt_cl_t_13
nm0389581;Michael Hogan;;;/name/nm0389581?ref_=tt_cl_t_10
nm0391738;Adrian Holmes;31/03/1974;Wrexham, North Wales, UK;/name/nm0391738?ref_=tt_cl_t_11
nm1877089;Cole Heppell;11/11/1993;Calgary, Alberta, Canada;/name/nm1877089?ref_=tt_cl_t_12
nm0860065;Don Thompson;;;/name/nm0860065?ref_=tt_cl_t_17
nm0788218;Michael Shanks;15/12/1970;Vancouver, British Columbia, Canada;/name/nm0788218?ref_=tt_cl_t_14
nm0121605;Billy Burke;25/11/1966;Everett, Washington, USA;/name/nm0121605?ref_=tt_cl_t_4
nm0435076;Shauna Kain;;;/name/nm0435076?ref_=tt_cl_t_9
nm1924001;Carmen Lavigne;;;/name/nm1924001?ref_=tt_cl_t_16
nm0000515;Virginia Madsen;11/09/1961;Chicago, Illinois, USA;/name/nm0000515?ref_=tt_cl_t_7
nm0001046;Julie Christie;14/04/1940;Chabua, Assam Province, British India [now Assam, India];/name/nm0001046?ref_=tt_cl_t_8
nm2057036;Shiloh Fernandez;26/02/1985;Ukiah, California, USA;/name/nm2057036?ref_=tt_cl_t_5
nm3821782;Kacey Rohl;06/08/1991;Vancouver, British Columbia, Canada;/name/nm3821782?ref_=tt_cl_t_15
nm2092422;Matt Ward;;;/name/nm2092422?ref_=tt_cl_t_18
nm1482647;Genelle Williams;18/02/1984;Toronto, Ontario, Canada;/name/nm1482647?ref_=tt_cl_t_13
nm0734558;Karel Roden;18/05/1962;Ceské Budejovice, Czechoslovakia [now Czech Republic];/name/nm0734558?ref_=tt_cl_t_7
nm0553269;Margo Martindale;18/07/1951;Jacksonville, Texas, USA;/name/nm0553269?ref_=tt_cl_t_6
nm0908381;Brendan Wall;24/08/1972;Toronto, Ontario, Canada;/name/nm0908381?ref_=tt_cl_t_12
nm2185870;Landon Norris;15/09/1994;Unionville, Ontario, Canada;/name/nm2185870?ref_=tt_cl_t_15
nm1497548;Jimmy Bennett;09/02/1996;Seal Beach, California, USA;/name/nm1497548?ref_=tt_cl_t_5
nm0267812;Vera Farmiga;06/08/1973;Clifton, New Jersey, USA;/name/nm0267812?ref_=tt_cl_t_1
nm3520200;Jamie Young;;;/name/nm3520200?ref_=tt_cl_t_10
nm0243024;Rosemary Dunsmore;13/07/1952;Edmonton, Alberta, Canada;/name/nm0243024?ref_=tt_cl_t_9
nm0043794;Lorry Ayers;;;/name/nm0043794?ref_=tt_cl_t_11
nm2954597;Aryana Engineer;06/03/2001;British Columbia, Canada;/name/nm2954597?ref_=tt_cl_t_8
nm2859938;Mustafa Abdelkarim;;;/name/nm2859938?ref_=tt_cl_t_14
nm2446424;Julien Elia;17/03/1980;Montreal, Quebec, Canada;/name/nm2446424?ref_=tt_cl_t_16
nm3520199;Gemma James Smith;;;/name/nm3520199?ref_=tt_cl_t_18
nm3501473;Alanna Goodman;;;/name/nm3501473?ref_=tt_cl_t_1
nm2644217;Kenny Ausubel;;;/name/nm2644217?ref_=tt_cl_t_2
nm2815238;James Hillman;12/04/1926;Atlantic City, New Jersey, USA;/name/nm2815238?ref_=tt_cl_t_17
nm2813646;James Parks Morton;07/01/1930;Houston, Texas, USA;/name/nm2813646?ref_=tt_cl_t_18
nm2641758;Thom Hartmann;;;/name/nm2641758?ref_=tt_cl_t_3
nm2390336;Paul Hawken;;;/name/nm2390336?ref_=tt_cl_t_12
nm0840559;David Suzuki;24/03/1936;Vancouver, British Columbia, Canada;/name/nm0840559?ref_=tt_cl_t_16
nm2617917;Stuart Pimm;;;/name/nm2617917?ref_=tt_cl_t_14
nm0720923;Andrew Revkin;;;/name/nm0720923?ref_=tt_cl_t_10
nm2685762;Paolo Soleri;21/06/1919;Turin, Piedmont, Italy;/name/nm2685762?ref_=tt_cl_t_15
nm1149824;Oren Lyons;1930-0-0;;/name/nm1149824?ref_=tt_cl_t_9
nm2214860;Wangari Maathai;01/04/1940;Nyeri, Kenya;/name/nm2214860?ref_=tt_cl_t_4
nm2813514;Sandra Postel;;;/name/nm2813514?ref_=tt_cl_t_5
nm0370071;Stephen Hawking;08/01/1942;Oxford, Oxfordshire, England, UK;/name/nm0370071?ref_=tt_cl_t_8
nm2336349;David Orr;10/01/1944;Des Moines, Iowa, USA;/name/nm2336349?ref_=tt_cl_t_7
nm2645349;Janine Benyus;;;/name/nm2645349?ref_=tt_cl_t_13
nm2812309;Paul Stamets;17/07/1955;Salem, Ohio, USA;/name/nm2812309?ref_=tt_cl_t_6
nm2015557;Patrick Joseph Connolly;;;/name/nm2015557?ref_=tt_cl_t_16
nm1584283;Lauren Bittner;22/07/1980;New York City, New York, USA;/name/nm1584283?ref_=tt_cl_t_13
nm0235652;Ann Dowd;30/01/1956;Holyoke, Massachusetts, USA;/name/nm0235652?ref_=tt_cl_t_5
nm1483196;Jerry Ferrara;25/11/1979;Brooklyn, New York, USA;/name/nm1483196?ref_=tt_cl_t_18
nm2382259;Franco Bulaon;30/05/1981;Queens, New York, USA;/name/nm2382259?ref_=tt_cl_t_15
nm1595523;Danny A. Abeckaser;;;/name/nm1595523?ref_=tt_cl_t_9
nm0069131;Gregg Bello;;;/name/nm0069131?ref_=tt_cl_t_12
nm1637961;Khan Baykal;20/10/1979;Teaneck, New Jersey, USA;/name/nm1637961?ref_=tt_cl_t_11
nm1788818;Anthony Fazio;27/08/1984;Clinton, Manhattan, New York City, New York, USA;/name/nm1788818?ref_=tt_cl_t_8
nm0036855;John Arocho;08/07/1984;New York City, New York, USA;/name/nm0036855?ref_=tt_cl_t_10
nm0159776;Erika Christensen;19/08/1982;Seattle, Washington, USA;/name/nm0159776?ref_=tt_cl_t_2
nm1477868;David Bortolucci;;;/name/nm1477868?ref_=tt_cl_t_14
nm0222881;Tony Devon;05/12/1951;Philadelphia, Pennsylvania, USA;/name/nm0222881?ref_=tt_cl_t_17
nm0009016;Jon Abrahams;29/10/1977;New York City, New York, USA;/name/nm0009016?ref_=tt_cl_t_6
nm0005461;Gwen Stefani;03/10/1969;Fullerton, California, USA;/name/nm0005461?ref_=tt_cl_t_9
nm0000295;Kate Beckinsale;26/07/1973;Finsbury Park, London, England, UK;/name/nm0000295?ref_=tt_cl_t_3
nm0307726;Kelli Garner;11/04/1984;Bakersfield, California, USA;/name/nm0307726?ref_=tt_cl_t_13
nm0001346;Edward Herrmann;21/07/1943;Washington, District of Columbia, USA;/name/nm0001346?ref_=tt_cl_t_17
nm0175814;Frances Conroy;15/03/1953;Monroe, Georgia, USA;/name/nm0175814?ref_=tt_cl_t_14
nm0396812;Danny Huston;14/05/1962;Rome, Lazio, Italy;/name/nm0396812?ref_=tt_cl_t_8
nm0220886;Stanley DeSantis;06/07/1953;Roslyn, Long Island, New York, USA;/name/nm0220886?ref_=tt_cl_t_16
nm0743671;Matt Ross;03/01/1970;Greenwich, Connecticut, USA;/name/nm0743671?ref_=tt_cl_t_12
nm0547584;Joe Marinelli;21/01/1957;;/name/nm0547584?ref_=tt_cl_t_16
nm1395951;Mariah Massa;;;/name/nm1395951?ref_=tt_cl_t_13
nm0932112;Mykelti Williamson;04/03/1957;Saint Louis, Missouri, USA;/name/nm0932112?ref_=tt_cl_t_8
nm1382384;Jared Dorrance;06/10/1989;California, USA;/name/nm1382384?ref_=tt_cl_t_11
nm1670088;Derek Greene;;;/name/nm1670088?ref_=tt_cl_t_15
nm0460990;Lily Knight;30/11/1956;Baltimore, Maryland, USA;/name/nm0460990?ref_=tt_cl_t_10
nm0585429;Tracy Middendorf;26/01/1970;Miami Beach, Florida, USA;/name/nm0585429?ref_=tt_cl_t_18
nm0000576;Sean Penn;17/08/1960;Santa Monica, California, USA;/name/nm0000576?ref_=tt_cl_t_1
nm0000699;Michael Wincott;21/01/1958;Toronto, Ontario, Canada;/name/nm0000699?ref_=tt_cl_t_7
nm0377034;Brad William Henke;10/04/1966;Columbus, Nebraska, USA;/name/nm0377034?ref_=tt_cl_t_5
nm0333318;April Grace;12/05/1962;Lakeland, Florida, USA;/name/nm0333318?ref_=tt_cl_t_9
nm1674955;Robert Kenneth Cooper;;;/name/nm1674955?ref_=tt_cl_t_17
nm1395962;Jenna Milton;;;/name/nm1395962?ref_=tt_cl_t_12
nm6455242;Atika Greene;;;/name/nm6455242?ref_=tt_cl_t_6
nm0798971;Sarah Silverman;01/12/1970;Bedford, New Hampshire, USA;/name/nm0798971?ref_=tt_cl_t_5
nm0693957;Mark Povinelli;09/08/1971;Elyria, Ohio, USA;/name/nm0693957?ref_=tt_cl_t_10
nm0064769;Jim Beaver;12/08/1950;Laramie, Wyoming, USA;/name/nm0064769?ref_=tt_cl_t_15
nm0382110;David Hewlett;18/04/1968;Redhill, Surrey, England, UK;/name/nm0382110?ref_=tt_cl_t_18
nm1892299;Lara Jean Chorostecki;24/09/1984;Brampton, Ontario, Canada;/name/nm1892299?ref_=tt_cl_t_14
nm13165574;Karissa Reynafarje;;;/name/nm13165574?ref_=tt_cl_t_12
nm4326281;Joshua Carl Allen;;;/name/nm4326281?ref_=tt_cl_t_17
nm7473839;Anna Cordell;;;/name/nm7473839?ref_=tt_cl_t_15
nm13097973;Griff Giacchino;;;/name/nm13097973?ref_=tt_cl_t_6
nm11866274;Cooper Hoffman;;;/name/nm11866274?ref_=tt_cl_t_2
nm0818587;Sasha Spielberg;14/05/1990;Los Angeles, California, USA;/name/nm0818587?ref_=tt_cl_t_11
nm13165571;Dexter Demme;;;/name/nm13165571?ref_=tt_cl_t_8
nm0814114;Adam Somner;;;/name/nm0814114?ref_=tt_cl_t_16
nm13097991;Will Angarola;;;/name/nm13097991?ref_=tt_cl_t_5
nm13165575;Savannah Ioakimedes;;;/name/nm13165575?ref_=tt_cl_t_13
nm5928079;James Kelley;;;/name/nm5928079?ref_=tt_cl_t_7
nm6076229;Alana Haim;15/12/1991;Los Angeles, California, USA;/name/nm6076229?ref_=tt_cl_t_1
nm13165573;Harrison Bray;;;/name/nm13165573?ref_=tt_cl_t_10
nm0388477;Patrick Hoelck;;;/name/nm0388477?ref_=tt_cl_t_18
nm13165572;River Cornwell;;;/name/nm13165572?ref_=tt_cl_t_9
nm13165576;Dorie Samovitz;;;/name/nm13165576?ref_=tt_cl_t_14
nm0001823;Tom Waits;07/12/1949;Pomona, California, USA;/name/nm0001823?ref_=tt_cl_t_4
nm0237503;Adam Drescher;;;/name/nm0237503?ref_=tt_cl_t_7
nm0002055;Alison Eastwood;22/05/1972;Santa Monica, California, USA;/name/nm0002055?ref_=tt_cl_t_10
nm9363688;Kinsley Isla Dillon;;;/name/nm9363688?ref_=tt_cl_t_11
nm0489436;Robert LaSardo;20/09/1963;Brooklyn, New York, USA;/name/nm0489436?ref_=tt_cl_t_18
nm1478076;Cesar De León;;;/name/nm1478076?ref_=tt_cl_t_3
nm2374823;Joe Knezevich;06/06/1977;Miami, Florida, USA;/name/nm2374823?ref_=tt_cl_t_13
nm0000142;Clint Eastwood;31/05/1930;San Francisco, California, USA;/name/nm0000142?ref_=tt_cl_t_1
nm1836910;Jackie Prucha;;;/name/nm1836910?ref_=tt_cl_t_5
nm5837211;Austin Freeman;;;/name/nm5837211?ref_=tt_cl_t_16
nm2622813;Megan Leahy;;;/name/nm2622813?ref_=tt_cl_t_14
nm0282436;Keith Flippen;;;/name/nm0282436?ref_=tt_cl_t_9
nm8423767;Patrick L. Reyes;;;/name/nm8423767?ref_=tt_cl_t_2
nm3169819;Gustavo Muñoz;;;/name/nm3169819?ref_=tt_cl_t_4
nm0001848;Dianne Wiest;28/03/1946;Kansas City, Missouri, USA;/name/nm0001848?ref_=tt_cl_t_12
nm0711559;Victor Rasuk;15/01/1984;New York City, New York, USA;/name/nm0711559?ref_=tt_cl_t_17
nm3920288;Taissa Farmiga;17/08/1994;Readington, New Jersey, USA;/name/nm3920288?ref_=tt_cl_t_15
nm10260847;Christi McClintock;;;/name/nm10260847?ref_=tt_cl_t_8
nm0378800;Richard Herd;26/09/1932;Boston, Massachusetts, USA;/name/nm0378800?ref_=tt_cl_t_6
nm6588867;Anthony Ramos;01/11/1991;Brooklyn, New York, New York, USA;/name/nm6588867?ref_=tt_cl_t_7
nm2093400;Rebecca Field;;;/name/nm2093400?ref_=tt_cl_t_16
nm1431753;Derek Kevin Jones;;;/name/nm1431753?ref_=tt_cl_t_17
nm0001048;Andrew Dice Clay;29/09/1957;Brooklyn, New York City, New York, USA;/name/nm0001048?ref_=tt_cl_t_5
nm1848488;Brandi Carlile;01/06/1981;Ravensdale, Washington, USA;/name/nm1848488?ref_=tt_cl_t_11
nm1316418;Willam Belli;;;/name/nm1316418?ref_=tt_cl_t_18
nm1969169;Rafi Gavron;28/05/1989;Hendon, London, England, UK;/name/nm1969169?ref_=tt_cl_t_6
nm0000385;Sam Elliott;09/08/1944;Sacramento, California, USA;/name/nm0000385?ref_=tt_cl_t_3
nm3078932;Lady Gaga;28/03/1986;Manhattan, New York City, New York, USA;/name/nm3078932?ref_=tt_cl_t_1
nm7573227;Marlon Williams;;;/name/nm7573227?ref_=tt_cl_t_10
nm0731426;Michael D. Roberts;25/12/1947;;/name/nm0731426?ref_=tt_cl_t_14
nm1886602;Miles Teller;20/02/1987;Downingtown, Pennsylvania, USA;/name/nm1886602?ref_=tt_cl_t_2
nm7071561;Gabriela Alvarez;;;/name/nm7071561?ref_=tt_cl_t_14
nm3626447;Dan Bilzerian;;;/name/nm3626447?ref_=tt_cl_t_15
nm4117905;Daimion Johnson;;;/name/nm4117905?ref_=tt_cl_t_10
nm8349038;David Packouz;;;/name/nm8349038?ref_=tt_cl_t_5
nm6211068;Edson Jean;;;/name/nm6211068?ref_=tt_cl_t_9
nm1869101;Ana de Armas;30/04/1988;Havana, Cuba;/name/nm1869101?ref_=tt_cl_t_12
nm4327542;Daniel Berson;;;/name/nm4327542?ref_=tt_cl_t_8
nm1816775;Gregg Weiner;;;/name/nm1816775?ref_=tt_cl_t_4
nm5898124;Jeremy Tardy;;;/name/nm5898124?ref_=tt_cl_t_18
nm2199793;Ali Chen;;;/name/nm2199793?ref_=tt_cl_t_16
nm0420646;Eddie Jemison;;;/name/nm0420646?ref_=tt_cl_t_6
nm3111373;Steve Lantz;;;/name/nm3111373?ref_=tt_cl_t_3
nm8349040;Bethuel Fletcher;;;/name/nm8349040?ref_=tt_cl_t_11
nm0820520;Patrick St. Esprit;18/05/1954;USA;/name/nm0820520?ref_=tt_cl_t_17
nm4558006;Julian Sergi;;;/name/nm4558006?ref_=tt_cl_t_7
nm0758760;Colin Salmon;06/12/1962;Luton, Bedfordshire, England, UK;/name/nm0758760?ref_=tt_cl_t_6
nm0004991;Hill Harper;17/05/1966;Iowa City, Iowa, USA;/name/nm0004991?ref_=tt_cl_t_3
nm5952641;Henry Gagliardi;;;/name/nm5952641?ref_=tt_cl_t_18
nm3418737;Georgina Haig;03/08/1985;Melbourne, Victoria, Australia;/name/nm3418737?ref_=tt_cl_t_15
nm0004993;Desmond Harrington;19/10/1976;Savannah, Georgia, USA;/name/nm0004993?ref_=tt_cl_t_16
nm1113773;Patch Darragh;;;/name/nm1113773?ref_=tt_cl_t_13
nm2764999;Musto Pelinkovicci;;;/name/nm2764999?ref_=tt_cl_t_12
nm1358539;Jennifer Carpenter;07/12/1979;Louisville, Kentucky, USA;/name/nm1358539?ref_=tt_cl_t_2
nm3037816;Jeffrey Omura;;;/name/nm3037816?ref_=tt_cl_t_17
nm3183569;Tom Degnan;;;/name/nm3183569?ref_=tt_cl_t_5
nm3747813;Megan Guinan;;;/name/nm3747813?ref_=tt_cl_t_10
nm1470498;Michael Devine;;;/name/nm1470498?ref_=tt_cl_t_9
nm4473692;Michael James Shaw;16/09/1986;Ocala, Florida, USA;/name/nm4473692?ref_=tt_cl_t_7
nm0341174;Douglas M. Griffin;17/11/1966;New Orleans, Louisiana, USA;/name/nm0341174?ref_=tt_cl_t_4
nm3816936;Frank Mottek;;;/name/nm3816936?ref_=tt_cl_t_8
nm0302330;John Gallagher Jr.;17/06/1984;Wilmington, Delaware, USA;/name/nm0302330?ref_=tt_cl_t_3
nm0190550;Suzanne Cryer;13/01/1967;Rochester, New York, USA;/name/nm0190550?ref_=tt_cl_t_5
nm0599019;Sumalee Montano;03/08/1972;Columbus, Ohio, USA;/name/nm0599019?ref_=tt_cl_t_7
nm5932170;Kayla Bechor;30/06/1999;Woodland Hills, California, USA;/name/nm5932170?ref_=tt_cl_t_9
nm0935541;Mary Elizabeth Winstead;28/11/1984;Rocky Mount, North Carolina, USA;/name/nm0935541?ref_=tt_cl_t_2
nm0942583;Laura Wright;;;/name/nm0942583?ref_=tt_cl_t_11
nm0005166;Susan Lucci;23/12/1946;Scarsdale, New York, USA;/name/nm0005166?ref_=tt_cl_t_10
nm1097515;Jimmy Jean-Louis;08/08/1968;Pétion-Ville, Haiti;/name/nm1097515?ref_=tt_cl_t_14
nm1183149;Edgar Ramírez;25/03/1977;Caracas, Venezuela;/name/nm1183149?ref_=tt_cl_t_4
nm0004897;John Enos III;12/06/1962;Boston, Massachusetts, USA;/name/nm0004897?ref_=tt_cl_t_17
nm0397432;Ken Howard;28/03/1944;El Centro, California, USA;/name/nm0397432?ref_=tt_cl_t_15
nm0502906;Marianne Leone;02/01/1952;Boston, Massachusetts, USA;/name/nm0502906?ref_=tt_cl_t_18
nm7799438;Ray De La Paz;;;/name/nm7799438?ref_=tt_cl_t_16
nm0001939;Maurice Benard;01/03/1963;Martinez, California, USA;/name/nm0001939?ref_=tt_cl_t_12
nm4745601;Dascha Polanco;03/12/1982;Santo Domingo, Dominican Republic;/name/nm4745601?ref_=tt_cl_t_8
nm3691741;Kelly McCreary;10/07/1981;Milwaukee, Wisconsin, USA;/name/nm3691741?ref_=tt_cl_t_10
nm0001288;Kelsey Grammer;21/02/1955;St. Thomas, U.S. Virgin Islands;/name/nm0001288?ref_=tt_cl_t_11
nm2005344;Devin Barry;;;/name/nm2005344?ref_=tt_cl_t_7
nm6641384;Ray Huizar;;;/name/nm6641384?ref_=tt_cl_t_18
nm5941057;Tom Goss;;;/name/nm5941057?ref_=tt_cl_t_14
nm0096153;Rainbow Borden;;;/name/nm0096153?ref_=tt_cl_t_17
