ID IMDB;NOM;ANNEE;RATING;URL;LIEU TOURNAGE;GENRES;LANGUE;RESUME;PAYS;
tt13820498;Les derniers jours de Ptolemy Grey;2022;7.8;/title/tt13820498/?ref_=nm_flmg_t_7_act;;Drama;English;Suddenly left without his trusted caretaker, Ptolemy Grey is assigned to the care of orphaned teenager, Robyn. When they learn about a treatment that will restore Ptolemy's memories, it begins a journey towards shocking truths.;United States
tt10168312;What If...?;2021;7.4;/title/tt10168312/?ref_=nm_flmg_t_8_act;;Animation,Action,Adventure;English;Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.;United States
tt6079772;La Protégée;2021;6.1;/title/tt6079772/?ref_=nm_flmg_t_9_act; Romania,Bucharest,;Action,Thriller;Romanian;Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.;United Kingdom
tt8385148;Hitman & Bodyguard 2;2021;6.1;/title/tt8385148/?ref_=nm_flmg_t_10_act; Croatia,Rijeka,;Action,Comedy,Crime;English;The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.;United Kingdom
tt10342730;Spirale: L'héritage de Saw;2021;5.2;/title/tt10342730/?ref_=nm_flmg_t_11_act; Canada, Ontario,Toronto;Crime,Horror,Mystery;English;A criminal mastermind unleashes a twisted form of justice in Spiral, the terrifying new chapter from the book of Saw.;United States
tt13567480;Mort à 2020;2020;6.8;/title/tt13567480/?ref_=nm_flmg_t_12_act;;Comedy;English;Take a look back at the mad glory of the year 2020 in this comedic retrospective.;United States
tt14084160;Capital One: Christmas Ad;2020;6.6;/title/tt14084160/?ref_=nm_flmg_t_13_act;;Short,Comedy;English;Amidst the daunting endeavor to complete a seemingly endless list of online shopping, Santa is swiftly stricken with the realization that he's missing a critical piece to his holiday puzzle. A coupon code.;United States
tt12369754;Staged;2020;8.5;/title/tt12369754/?ref_=nm_flmg_t_14_act;;Comedy,Drama;English;David Tennant and Michael Sheen star as two actors whose West End play has been put on hold due to Covid-19, but whose director has persuaded them to carry on rehearsing online.;United Kingdom
tt6285944;The Banker;2020;7.3;/title/tt6285944/?ref_=nm_flmg_t_15_act; USA, Georgia,Atlanta;Biography,Drama;English;In the 1960s, two African-American entrepreneurs hire a working-class white man to pretend to be the head of their business empire while they pose as a janitor and chauffeur.;United States
tt5537002;Killers of the Flower Moon;2023;8.0;/title/tt5537002/?ref_=nm_flmg_t_1_act; USA, Oklahoma,Bartlesville;Crime,Drama,History;English;When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.;United States
