ID;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL;
nm0309307;Kyle Gass;July 14 1960 ;Walnut Creek, California, USA ;/name/nm0309307/?ref_=tt_ov_st;
nm1627732;Tenacious D;;;/name/nm1627732/?ref_=tt_ov_st;
nm6600275;Adam Paloian;September 9 1991 ;Cold Spring Harbor, New York, USA ;/name/nm6600275/?ref_=tt_ov_dr;
nm3488144;Olov Burman;;;/name/nm3488144/?ref_=tt_ov_dr;
nm9420496;Cole Bennett;;;/name/nm9420496/?ref_=tt_ov_dr;
nm1569897;Dimitri Coats;;;/name/nm1569897/?ref_=tt_ov_dr;
nm1926903;Eric Appel;August 13 1980 ;Endicott, New York, USA ;/name/nm1926903/?ref_=tt_ov_dr;
nm0000500;Richard Linklater;July 30 1960 ;Houston, Texas, USA ;/name/nm0000500/?ref_=tt_ov_dr;
nm0769796;Tim Schafer;July 26 1967 ;;/name/nm0769796/?ref_=tt_ov_dr;
nm0004937;Jamie Foxx;December 13 1967 ;Terrell, Texas, USA ;/name/nm0004937/?ref_=tt_ov_dr;
nm0300866;Stephen Gaghan;May 6 1965 ;Louisville, Kentucky, USA ;/name/nm0300866/?ref_=tt_ov_dr;
nm1218281;Jon Watts;June 28 1981 ;Fountain, Colorado, USA ;/name/nm1218281/?ref_=tt_ov_dr;
nm0923736;Joss Whedon;June 23 1964 ;New York City, New York, USA ;/name/nm0923736/?ref_=tt_ov_dr;
nm0229694;David Dobkin;June 23 1969 ;Washington, District of Columbia, USA ;/name/nm0229694/?ref_=tt_ov_dr;
nm0269463;Jon Favreau;October 19 1966 ;Queens, New York City, New York, USA ;/name/nm0269463/?ref_=tt_ov_dr;
nm0000948;Shane Black;December 16 1961 ;Pittsburgh, Pennsylvania, USA ;/name/nm0000948/?ref_=tt_ov_dr;
nm0005363;Guy Ritchie;September 10 1968 ;Hatfield, Hertfordshire, England, UK ;/name/nm0005363/?ref_=tt_ov_dr;
nm3227090;Damien Chazelle;January 19 1985 ;Providence, Rhode Island, USA ;/name/nm3227090/?ref_=tt_ov_dr;
nm0500610;David Leitch;November 16 1975 ;;/name/nm0500610/?ref_=tt_ov_dr;
nm1887480;Aaron Nee;;;/name/nm1887480/?ref_=tt_ov_dr;
nm1519639;Adam Nee;July 19 ;New Orleans, Louisiana, USA ;/name/nm1519639/?ref_=tt_ov_dr;
nm0240211;Ivan Dudynsky;November 20 1970 ;Minneapolis, Minnesota, USA ;/name/nm0240211/?ref_=tt_ov_dr;
nm0336695;James Gray;April 14 1969 ;New York City, New York, USA ;/name/nm0336695/?ref_=tt_ov_dr;
nm2391575;David Michôd;;;/name/nm2391575/?ref_=tt_ov_dr;
nm0000709;Robert Zemeckis;May 14 1952 ;Chicago, Illinois, USA ;/name/nm0000709/?ref_=tt_ov_dr;
nm0000517;Terrence Malick;November 30 1943 ;Ottawa, Illinois, USA ;/name/nm0000517/?ref_=tt_ov_dr;
nm0001401;Angelina Jolie;June 4 1975 ;Los Angeles, California, USA ;/name/nm0001401/?ref_=tt_ov_dr;
nm0043742;David Ayer;January 18 1968 ;Champaign, Illinois, USA ;/name/nm0043742/?ref_=tt_ov_dr;
nm0110300;Stéphane Brizé;October 18 1966 ;Rennes, Ille-et-Vilaine, France ;/name/nm0110300/?ref_=tt_ov_dr;
nm0271246;Jean-Loup Felicioli;;;/name/nm0271246/?ref_=tt_ov_dr;
nm0300944;Alain Gagnol;1967 ;Roanne, Loire, France ;/name/nm0300944/?ref_=tt_ov_dr;
nm4224294;Just Philippot;;;/name/nm4224294/?ref_=tt_ov_dr;
nm0133899;Guillaume Canet;April 10 1973 ;Boulogne-Billancourt, Hauts-de-Seine, France ;/name/nm0133899/?ref_=tt_ov_dr;
nm4922817;Édouard Bergeon;;;/name/nm4922817/?ref_=tt_ov_dr;
nm1267707;Nicolas Bedos;April 21 1980 ;Neuilly-sur-Seine, Hauts-de-Seine, France ;/name/nm1267707/?ref_=tt_ov_dr;
nm2016916;Sandy Lobry;;;/name/nm2016916/?ref_=tt_ov_dr;
nm1618621;Olivier Afonso;;;/name/nm1618621/?ref_=tt_ov_dr;
nm0029762;Cédric Anger;September 1 1974 ;Caen, Calvados, France ;/name/nm0029762/?ref_=tt_ov_dr;
